iter	AUC	Logloss
0	0.7326243679	0.6711239818
1	0.7830639187	0.6505617568
2	0.799102408	0.6358171333
3	0.8048599343	0.6215746624
4	0.8054279106	0.611159294
5	0.81424783	0.5991470655
6	0.8212135645	0.5894392498
7	0.8279219625	0.5779747244
8	0.8303862926	0.570187025
9	0.8326091586	0.5622078424
10	0.8374212029	0.5527659992
11	0.8408821862	0.5461515482
12	0.8448295325	0.5395922313
13	0.8452407971	0.5351971359
14	0.8468429166	0.5299858187
15	0.8474969481	0.5263761266
16	0.851847978	0.520169006
17	0.8544244819	0.5160371514
18	0.8578976065	0.5113335388
19	0.8602231703	0.5085226561
20	0.8623660814	0.5042866188
21	0.8648445664	0.5002707291
22	0.8662388623	0.4977258696
23	0.8677203979	0.4950554376
24	0.869913651	0.4912755039
25	0.8721015738	0.4876720428
26	0.8736705861	0.4854141329
27	0.8744548553	0.482151362
28	0.8764534922	0.4787943921
29	0.8774265735	0.47652118
30	0.8786337156	0.4741854152
31	0.880994578	0.4708612375
32	0.8826626159	0.4681734392
33	0.8832933717	0.4655855391
34	0.8837662312	0.4639494616
35	0.8846983282	0.4622971177
36	0.8864480979	0.4603030832
37	0.8886643306	0.4572559337
38	0.890120103	0.455158456
39	0.8918612257	0.4534759754
40	0.8927170398	0.4514230462
41	0.893786304	0.4498116353
42	0.8947754948	0.4483643704
43	0.8969163922	0.4454141961
44	0.8979341299	0.4431761768
45	0.8993711869	0.4403896982
46	0.9006014271	0.4386558774
47	0.9016045952	0.4373950241
48	0.902446432	0.4359685144
49	0.9033105377	0.4331012627
50	0.9041654042	0.4317031444
51	0.9060660814	0.4286279788
52	0.9072444397	0.4271595919
53	0.9079052822	0.4258403983
54	0.908817124	0.4242176559
55	0.9096683184	0.422363691
56	0.9103495346	0.4208125481
57	0.9108036787	0.4197143828
58	0.9118994761	0.4179066425
59	0.9133445878	0.4159607255
60	0.9141752902	0.414064066
61	0.9149528076	0.412362767
62	0.9156737052	0.4105672382
63	0.9163232947	0.4087192387
64	0.9174506003	0.4069580804
65	0.918523418	0.4054224043
66	0.9197274804	0.4034401888
67	0.9202476021	0.4024425304
68	0.9219127972	0.4001121874
69	0.9225270881	0.3986733465
70	0.9236219379	0.3972548653
71	0.9242691584	0.395966415
72	0.9257525301	0.3939543338
73	0.9265844169	0.3928469942
74	0.9274534976	0.3915939282
75	0.9285393451	0.3899872605
76	0.9292769443	0.3887368078
77	0.9300037644	0.3872279692
78	0.9304834941	0.386328136
79	0.9308600523	0.3851702053
80	0.9316010866	0.3839069982
81	0.9322259198	0.3824568015
82	0.9330303258	0.3806914027
83	0.9339052106	0.3790238656
84	0.9352684721	0.3766623579
85	0.9364801154	0.3748734575
86	0.9370896682	0.3735033143
87	0.9378501287	0.37205046
88	0.9385557459	0.3705090611
89	0.9396774842	0.3685770695
90	0.9409102119	0.3663308755
91	0.9417595111	0.3647946399
92	0.9426353436	0.3628397593
93	0.9437660843	0.360424803
94	0.9449689621	0.3579045013
95	0.945497257	0.3562566085
96	0.9469312342	0.3540800308
97	0.9479595141	0.3523495526
98	0.9484392438	0.3504637985
99	0.949556481	0.3482724252
