iter	Passed	Remaining
0	6	657
1	12	619
2	18	588
3	23	566
4	29	552
5	34	546
6	40	539
7	46	530
8	51	521
9	57	515
10	62	508
11	68	500
12	73	492
13	79	487
14	85	483
15	90	475
16	96	469
17	101	464
18	107	456
19	112	450
20	117	443
21	123	438
22	128	431
23	134	424
24	140	420
25	145	415
26	151	408
27	156	402
28	162	398
29	168	392
30	173	386
31	178	379
32	183	373
33	189	367
34	194	361
35	200	355
36	205	349
37	210	344
38	216	338
39	221	332
40	227	326
41	232	320
42	237	315
43	242	309
44	248	303
45	255	299
46	262	296
47	268	290
48	273	284
49	278	278
50	283	272
51	289	267
52	294	261
53	300	255
54	305	249
55	311	244
56	316	238
57	321	233
58	327	227
59	332	221
60	337	216
61	343	210
62	348	204
63	354	199
64	359	193
65	364	187
66	370	182
67	375	176
68	380	171
69	386	165
70	391	159
71	397	154
72	403	149
73	409	143
74	414	138
75	419	132
76	425	127
77	430	121
78	436	115
79	441	110
80	446	104
81	451	99
82	456	93
83	461	87
84	467	82
85	472	76
86	478	71
87	484	66
88	489	60
89	495	55
90	500	49
91	505	43
92	511	38
93	516	32
94	522	27
95	527	21
96	532	16
97	538	10
98	543	5
99	548	0
